,Spółka,Rodzaj,Cena aktualna,Cena docelowa,Potencjał zmiany ceny,Cena w dniu publ.,Instytucja,Data publ.,Raport
1,PEPCO (PCO),Trzymaj,22.25,26.5,0.191,22.35,Trigon DM,2024-06-25,
2,LPP (LPP),Kupuj,16880.0,23500.0,0.3922,16880.0,Trigon DM,2024-06-24,
3,SELVITA (SLV),Akumuluj,67.3,74.6,0.1085,63.7,Noble Securities,2024-06-17,
4,AILLERON (ALL),Kupuj,17.4,23.1,0.3276,17.06,Noble Securities,2024-06-13,
5,RAINBOW (RBW)*,Kupuj,113.0,155.0,0.37170000000000003,103.0,BM Banku Pekao,2024-06-12,
6,SKARBIEC (SKH)*,Kupuj,24.2,34.0,0.405,22.7,BM Banku Pekao,2024-06-11,
7,INTERBUD (ITB),Kupuj,2.7,6.7,1.4815,3.66,East Value Research,2024-06-11,
8,ENTER (ENT)*,Kupuj,67.2,77.5,0.1533,61.0,DM BDM,2024-06-10,
9,BIOMAXIMA (BMX)*,Kupuj,15.45,22.9,0.48219999999999996,14.55,DM BDM,2024-06-05,
10,XTPL (XTP),Kupuj,125.4,167.0,0.3317,126.2,Trigon DM,2024-06-03,
11,STALPROFI (STF)*,Kupuj,9.32,10.64,0.1416,8.9,BM Banku Pekao,2024-06-03,
12,PHOTON (PEN)*,Wycena,7.44,6.82,-0.0833,7.7,Noble Securities,2024-05-31,
13,NOVAVISGR (NVG),Kupuj,2.26,4.0,0.7698999999999999,2.07,East Value Research,2024-05-31,
14,ENEA (ENA),Trzymaj,9.42,11.63,0.2353,10.24,Trigon DM,2024-05-29,
15,MOBRUK (MBR),Akumuluj,317.0,375.8,0.1855,318.5,Noble Securities,2024-05-28,
16,MLPGROUP (MLG)*,Kupuj,83.0,110.0,0.32530000000000003,80.0,BM PKO BP,2024-05-28,
17,11BIT (11B),Kupuj,642.0,952.6,0.4838,585.0,Noble Securities,2024-05-27,
18,RYVU (RVU),Trzymaj,50.9,75.5,0.4833,53.4,Noble Securities,2024-05-24,
